id,name,domain,distance,authentication_provider
132875,Academy of Integrative Health and Medicine,aihm.instructure.com,,canvas
132923,Academy of Interactive Entertainment,aie.instructure.com,,
132675,"Academy of Math, Engineering and Science (AMES)",ames.instructure.com,,Canvas
133311,Academy of Notre Dame De Namur,ndapa.instructure.com,,
138262,Academy of Pepe Life,yelyzavetapiankova.instructure.com,,576
134913,Acalanes Adult Education,auhsdadulted.instructure.com,,canvas
134258,Acalanes Union High - Parents,acalanes.instructure.com,,canvas
134257,Acalanes Union High - Students/Teachers,acalanes.instructure.com,,saml
131676,Accelerate Institute ,accelerateinstitute.instructure.com,,
137052,Accelerate Montana,acceleratemt.instructure.com,,1
132472,Accelerated Academy,adaa.instructure.com,,canvas
131421,Accellier,accellier.instructure.com,,canvas
129304,Access,access.instructure.com,,clever
129751,Access - Parents,access.instructure.com,,canvas
140464,Access-Tech Egypt,accesstech.instructure.com,,
134493,Accomack County Public Schools - VA,accomack.instructure.com,,
131462,Acorn Digital Learning,acorn.instructure.com,,canvas
138022,Acorn Learning,acornlearning.instructure.com,,canvas
127596,Activate Learning Online,activatelearningonline.instructure.com,,
132027,Actuaries Institute - Staff,actuaries.instructure.com,,saml
132028,Actuaries Institute - Student,actuaries.instructure.com,,canvas
132684,AcuStudy,acustudy.instructure.com,,
137582,Adams Center,adamscenter.instructure.com,,canvas
131334,Adelaide Institute of Business and Technology,aibt.instructure.com,,ldap
131573,Adelaide Institute of Higher Ed,aihecanvas.instructure.com,,saml
131337,Adelaide International School,ais.instructure.com,,saml
134748,Adelanto School District,aesd.instructure.com,,saml
129309,Aden International Business School,aden.instructure.com,,
129929,Adlai Stevenson High School,d125.instructure.com,,saml
129930,Adlai Stevenson High School- Parents,d125.instructure.com,,canvas
137766,Adler Graduate School,adlergraduateschool.instructure.com,,Canvas
128409,Adler University,adler.instructure.com,,
134964,Adtec Puerto Rico,virtual.instructure.com,,1
131338,Advanced College,advancedcollege.instructure.com,,canvas
131779,Advanced Training Institute,mec.instructure.com,,saml
126428,Aeon Consulting Group,acg.instructure.com,,
130680,Aeres Hogeschool,aeres.instructure.com,,saml
133279,Affton Schools,afftonschools.instructure.com,,
135029,Affton Schools (Parents),afftonschools.instructure.com,,canvas
140035,Africa Institute CANVAS,gsu.instructure.com,,
127199,African Leadership Academy,africanleadershipacademy.instructure.com,,
131417,Afya,afya.instructure.com,,canvas
132874,Agnes Scott College,agnesscott.instructure.com,,saml
132468,Agricultural University of Iceland,lbhi.instructure.com,,
138203,Ainey - McCullers School of the Arts - MCSD Parents,mcsd.instructure.com,,4
138247,Ainey - McCullers School of the Arts - MCSD Teachers/Students,mcsd.instructure.com,,209
129508,Air Rescue College (ÖAMTC Flugrettung),airrescuecollege.instructure.com,,canvas
133247,Airstreams Renewables,airstreamsrenewables.instructure.com,,
133022,Aitkin Public Schools,aitkin.instructure.com,,ldap
133023,Aitkin Public Schools (Parent),aitkin.instructure.com,,canvas
129360,Akilah Institute,akilah.instructure.com,,saml
134126,Ako Mātātupu,akomatatupu.instructure.com,,
134071,Akron Preparatory School,accelschoolsonlineoh.instructure.com,,
136485,Al Akhawayn University,aui.instructure.com,,
130791,Al Qasimia (AQU),alqasimia.instructure.com,,saml
137440,Al Siraat College,alsiraat.instructure.com,,
132029,Al Zahra College (AZC),azc.instructure.com,,
129266,Al-Mahdi Institute,ami.instructure.com,,microsoft
140066,Al-Mizhar School,ajyalese.instructure.com,,
135763,Al-nahda International School Riyadh NIS-Riyadh,al-nahda.instructure.com,,
136944,Alabama Banking School,abs.instructure.com,,canvas
136234,Alabama College of Osteopathic Medicine,acom.instructure.com,,
140031,Alabama Community College System (NEW),accs.instructure.com,,38
133251,Alabama Institute for Deaf and Blind,aidb.instructure.com,,
126430,Alabama Southern Community College,ascc.instructure.com,,
139572,Alabama State University ,alasu.instructure.com,,SAML
140040,Alabama Technology Network ,alabama.instructure.com,,saml
134866,Alachua County - Parents/Guardians,sbac.instructure.com,,canvas
134865,Alachua County - Students/Teachers,sbac.instructure.com,,saml
130330,Alamance-Burlington Schools - Parents,abss.instructure.com,,canvas
130328,Alamance-Burlington Schools - Students/Teachers,abss.instructure.com,,saml
140984,Alameda County Office of Education,acoe.instructure.com,,
139932,Alamein International University ,aiu.instructure.com,,
126431,Alamo Colleges,alamo.instructure.com,,
131552,Alaska Career College,alaskacareercollege.instructure.com,,
131380,Albany College of Pharmacy and Health Sciences,acphs.instructure.com,,saml
131749,Albany County School District #1,acsd1.instructure.com,,
131958,Albany County School District #1 - Parents,acsd1.instructure.com,,canvas
127768,Albany Law School,albanylaw.instructure.com,,
134646,Albert Einstein Academy Charter School (Parent/Guardian) ,aeacs.instructure.com,,canvas
134645,Albert Einstein Academy Charter School Student,aeacs.instructure.com,,35
127750,Albert Einstein College of Medicine,aecm.instructure.com,,saml
134643,Albert Gallatin School District (Parent/Guardian) ,agasd.instructure.com,,canvas
135150,Albert Gallatin School District (Students),agasd.instructure.com,,49
134642,Albert Gallatin School District (Teachers),agasd.instructure.com,,48
140417,Alberta College of Aeronautics,acaeronautics.instructure.com,,
140559,Albertus Magnus College,albertus.instructure.com,,
132623,Albright College,albright.instructure.com,,
133706,Albuera Street Primary (Tas) - Parents/Carers,canvas.education.tas.gov.au,,openid_connect
133486,Albuera Street Primary (Tas) - Students/Teachers,canvas.education.tas.gov.au,,saml
126433,Albuquerque Academy,aa.instructure.com,,
137451,Alcidion,alcidion.instructure.com,,
130509,Alcorn School District,alcornschools.instructure.com,,saml
132388,Alcorn State University,alcorn.instructure.com,,Told to leave blank! (:
136471,Aldar Education,cs1.instructure.com,,saml
136490,Aldar Education Admins,cs1.instructure.com,,canvas
133174,Alder Graduate School of Education,aldergse.instructure.com,,
127467,Aledo ISD,aledo.instructure.com,,
133135,Aledo ISD - Parents,aledo.instructure.com,,canvas
135793,Alef Trust,aleftrust.instructure.com,,
132951,Alesco Senior College,atwea.instructure.com,,canvas
134066,Alex Carey University,acarey.instructure.com,,
137631,Alex Chapdelaine Sandbox,alexchapdelaine.instructure.com,,canvas
138419,Alexander College,alexandercollege.instructure.com,,saml
134812,Alexander County Schools (NC) - Parents,alexander.instructure.com,,canvas
134811,Alexander County Schools (NC) - Students/Teachers,alexander.instructure.com,,saml
127349,Alexandria,alexandriacsc.instructure.com,,
136587,Alexandria City Public Schools,acps.instructure.com,,
136586,Alexandria City Public Schools - Parents,acps.instructure.com,,1
130811,Alexandria Township School District,atsd.instructure.com,,ldap
132876,Alfred University,alfredu.instructure.com,,ldap
136319,Alhambra ESD Staff,alhambraesd.instructure.com,,105
136318,Alhambra ESD Students,alhambraesd.instructure.com,,105
134414,Alice King Community School (APS charter school),akcs.instructure.com,,canvas
138081,Alice Lloyd College (ALC),alicelloydcollege.instructure.com,,1
140067,Alkhran School,ajyalese.instructure.com,,
130333,All Dorsey Colleges,dorsey.instructure.com,,microsoft
138178,All Saints College (Perth),allsaintscollege.instructure.com,,
138179,All Saints College Online,allsaintscollege.instructure.com,,
135832,All Saints Grammar (Staff & Students),allsaints.instructure.com,,saml
